,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD
1050,137798,_register_fs_event_wrap (137798),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1051,137802,_register_heap_utils (137802),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1052,137806,_register_http2 (137806),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1053,137810,_register_http_parser (137810),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1054,137814,_register_inspector (137814),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1055,137818,_register_js_stream (137818),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1056,137822,_register_js_udp_wrap (137822),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1057,137826,_register_messaging (137826),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1058,137830,_register_module_wrap (137830),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1059,137834,_register_mksnapshot (137834),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1060,137838,_register_options (137838),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1061,137842,_register_os (137842),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1062,137846,_register_performance (137846),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
