4897,DEPENDENCY,log4cxx/helpers/bytebuffer.hpp,log4cxx/helpers/bytebuffer.hpp,include
4899,DEPENDENCY,log4cxx/helpers/transcoder.hpp,log4cxx/helpers/transcoder.hpp,include
4901,DEPENDENCY,apr_network_io.hpp,apr_network_io.hpp,include
4903,DEPENDENCY,apr_signal.hpp,apr_signal.hpp,include
5314,DEPENDENCY,log4cxx/asyncappender.hpp,log4cxx/asyncappender.hpp,include
5316,DEPENDENCY,log4cxx/helpers/loglog.hpp,log4cxx/helpers/loglog.hpp,include
5318,DEPENDENCY,log4cxx/spi/loggingevent.hpp,log4cxx/spi/loggingevent.hpp,include
5320,DEPENDENCY,log4cxx/helpers/stringhelper.hpp,log4cxx/helpers/stringhelper.hpp,include
5322,DEPENDENCY,log4cxx/helpers/optionconverter.hpp,log4cxx/helpers/optionconverter.hpp,include
5324,DEPENDENCY,log4cxx/helpers/threadutility.hpp,log4cxx/helpers/threadutility.hpp,include
5326,DEPENDENCY,log4cxx/private/appenderskeleton_priv.hpp,log4cxx/private/appenderskeleton_priv.hpp,include
5328,DEPENDENCY,thread,thread,include
5330,DEPENDENCY,condition_variable,condition_variable,include
5332,DEPENDENCY,log4cxx/private/atexitregistry.hpp,log4cxx/private/atexitregistry.hpp,include
6672,DEPENDENCY,log4cxx/private/atexitregistry.hpp,log4cxx/private/atexitregistry.hpp,include
6674,DEPENDENCY,mutex,mutex,include
6676,DEPENDENCY,map,map,include
6817,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
6819,DEPENDENCY,log4cxx/basicconfigurator.hpp,log4cxx/basicconfigurator.hpp,include
6821,DEPENDENCY,log4cxx/patternlayout.hpp,log4cxx/patternlayout.hpp,include
6823,DEPENDENCY,log4cxx/consoleappender.hpp,log4cxx/consoleappender.hpp,include
6825,DEPENDENCY,log4cxx/logmanager.hpp,log4cxx/logmanager.hpp,include
6827,DEPENDENCY,log4cxx/logger.hpp,log4cxx/logger.hpp,include
6829,DEPENDENCY,log4cxx/helpers/widelife.hpp,log4cxx/helpers/widelife.hpp,include
6913,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
6915,DEPENDENCY,log4cxx/helpers/bufferedwriter.hpp,log4cxx/helpers/bufferedwriter.hpp,include
6917,DEPENDENCY,log4cxx/helpers/pool.hpp,log4cxx/helpers/pool.hpp,include
7086,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
7088,DEPENDENCY,log4cxx/helpers/bytearrayinputstream.hpp,log4cxx/helpers/bytearrayinputstream.hpp,include
7090,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
7092,DEPENDENCY,log4cxx/helpers/bytebuffer.hpp,log4cxx/helpers/bytebuffer.hpp,include
7094,DEPENDENCY,log4cxx/helpers/transcoder.hpp,log4cxx/helpers/transcoder.hpp,include
7096,DEPENDENCY,algorithm,algorithm,include
7098,DEPENDENCY,cstring,cstring,include
7204,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
7206,DEPENDENCY,log4cxx/helpers/bytearrayoutputstream.hpp,log4cxx/helpers/bytearrayoutputstream.hpp,include
7208,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
7210,DEPENDENCY,log4cxx/helpers/bytebuffer.hpp,log4cxx/helpers/bytebuffer.hpp,include
7212,DEPENDENCY,string.hpp,string.hpp,include
7299,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
7301,DEPENDENCY,log4cxx/helpers/bytebuffer.hpp,log4cxx/helpers/bytebuffer.hpp,include
7303,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
7305,DEPENDENCY,log4cxx/helpers/pool.hpp,log4cxx/helpers/pool.hpp,include
7508,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
7510,DEPENDENCY,log4cxx/helpers/cacheddateformat.hpp,log4cxx/helpers/cacheddateformat.hpp,include
7512,DEPENDENCY,log4cxx/helpers/pool.hpp,log4cxx/helpers/pool.hpp,include
7514,DEPENDENCY,limits,limits,include
7516,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
8202,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
8204,DEPENDENCY,log4cxx/helpers/charsetdecoder.hpp,log4cxx/helpers/charsetdecoder.hpp,include
8206,DEPENDENCY,log4cxx/helpers/bytebuffer.hpp,log4cxx/helpers/bytebuffer.hpp,include
8208,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
8210,DEPENDENCY,log4cxx/helpers/pool.hpp,log4cxx/helpers/pool.hpp,include
8212,DEPENDENCY,log4cxx/helpers/loglog.hpp,log4cxx/helpers/loglog.hpp,include
8214,DEPENDENCY,apr_xlate.hpp,apr_xlate.hpp,include
8216,DEPENDENCY,log4cxx/private/log4cxx_private.hpp,log4cxx/private/log4cxx_private.hpp,include
8218,DEPENDENCY,locale.hpp,locale.hpp,include
8220,DEPENDENCY,apr_portable.hpp,apr_portable.hpp,include
8222,DEPENDENCY,log4cxx/helpers/stringhelper.hpp,log4cxx/helpers/stringhelper.hpp,include
8224,DEPENDENCY,log4cxx/helpers/transcoder.hpp,log4cxx/helpers/transcoder.hpp,include
8226,DEPENDENCY,mutex,mutex,include
