3399,LITERAL,1,,"""].""",33,,103,1,,char[3]
3419,LITERAL,2,,0,14,,115,2,,int
3439,LITERAL,2,,nullptr,9,,123,2,,ANY
3474,LITERAL,2,,nullptr,23,,138,2,,ANY
3481,LITERAL,1,,"""You have tried to set a null error-handler.""",28,,142,1,,char[44]
3524,LITERAL,1,,"""THRESHOLD""",16,,160,1,,char[10]
3526,LITERAL,1,,"""threshold""",42,,160,1,,char[10]
3733,LITERAL,5,,0,18,,91,5,,int
3767,LITERAL,3,,0,52,,100,3,,int
3815,LITERAL,5,,0,4,,118,5,,int
3849,LITERAL,3,,0,50,,127,3,,int
3882,LITERAL,2,,0,23,,137,2,,int
3917,LITERAL,2,,0,19,,146,2,,int
3929,LITERAL,2,,0,22,,147,2,,int
3956,LITERAL,5,,0,16,,160,5,,int
4039,LITERAL,5,,0,18,,192,5,,int
4090,LITERAL,2,,nullptr,26,,211,2,,ANY
4117,LITERAL,2,,false,37,,32,2,,bool
4182,LITERAL,2,,true,17,,97,2,,bool
4531,LITERAL,3,,1,62,,49,3,,int
4549,LITERAL,5,,0,10,,60,5,,int
4606,LITERAL,2,,50,44,,76,2,,int
4650,LITERAL,2,,0,23,,87,2,,int
4685,LITERAL,2,,0,19,,96,2,,int
4721,LITERAL,2,,0,23,,108,2,,int
4757,LITERAL,2,,0,19,,117,2,,int
4794,LITERAL,2,,1000,44,,122,2,,int
4801,LITERAL,2,,1,40,,123,2,,int
4827,LITERAL,2,,0,37,,135,2,,int
4868,LITERAL,3,,0,58,,151,3,,int
4987,LITERAL,5,,0,10,,65,5,,int
5085,LITERAL,2,,0,15,,97,2,,int
5141,LITERAL,2,,0,23,,111,2,,int
5148,LITERAL,2,,0,24,,116,2,,int
5155,LITERAL,2,,0,27,,118,2,,int
5223,LITERAL,2,,0,23,,149,2,,int
5258,LITERAL,2,,0,19,,158,2,,int
5287,LITERAL,1,,0,14,,472,1,,int
5343,LITERAL,2,,128,30,,47,2,,int
5442,LITERAL,1,,"""LOCATIONINFO""",57,,197,1,,char[13]
5444,LITERAL,1,,"""locationinfo""",86,,197,1,,char[13]
5452,LITERAL,2,,false,53,,199,3,,bool
5460,LITERAL,1,,"""BUFFERSIZE""",57,,202,1,,char[11]
5462,LITERAL,1,,"""buffersize""",84,,202,1,,char[11]
5478,LITERAL,1,,"""BLOCKING""",57,,207,1,,char[9]
5480,LITERAL,1,,"""blocking""",82,,207,1,,char[9]
5488,LITERAL,2,,true,49,,209,3,,bool
5524,LITERAL,2,,0,26,,225,2,,int
5605,LITERAL,1,,"""AsyncAppender""",75,,240,1,,char[14]
5610,LITERAL,3,,this,119,,240,4,,ANY
5612,LITERAL,-1,,true,9,,242,1,,bool
5663,LITERAL,2,,0,24,,250,2,,int
5682,LITERAL,2,,true,18,,265,2,,bool
5743,LITERAL,2,,false,14,,275,2,,bool
5858,LITERAL,2,,true,18,,306,2,,bool
6016,LITERAL,-1,,false,9,,345,1,,bool
6112,LITERAL,2,,0,13,,376,2,,int
6117,LITERAL,1,,"""size argument must be non-negative""",46,,378,1,,char[35]
6151,LITERAL,2,,1,29,,382,2,,int
6152,LITERAL,2,,1,34,,382,2,,int
6273,LITERAL,1,,this,10,,417,1,,DiscardSummary*
6309,LITERAL,1,,"""Discarded """,28,,432,1,,char[11]
6322,LITERAL,1,,""" messages due to a full event buffer including: """,25,,434,1,,char[49]
6362,LITERAL,1,,"""Discarded """,28,,447,1,,char[11]
6375,LITERAL,1,,""" messages due to a full event buffer""",25,,449,1,,char[37]
6386,LITERAL,1,,"""""",17,,452,1,,char[1]
6405,LITERAL,2,,true,18,,460,2,,bool
6639,LITERAL,1,,"""async dispatcher""",44,,507,1,,char[17]
6641,LITERAL,3,,0,69,,507,4,,int
6646,LITERAL,2,,false,17,,508,2,,bool
6665,LITERAL,1,,"""async dispatcher""",44,,515,1,,char[17]
6668,LITERAL,2,,false,17,,516,2,,bool
6845,LITERAL,1,,true,51,,29,2,,bool
6857,LITERAL,1,,"""%r [%t] %p %c %x - %m%n""",81,,33,1,,char[24]
6975,LITERAL,2,,0,29,,60,2,,int
7144,LITERAL,1,,1,11,,62,1,,int
7345,LITERAL,2,,0,16,,48,2,,int
7361,LITERAL,2,,0,16,,54,2,,int
7403,LITERAL,1,,"""newLimit""",46,,73,1,,char[9]
