5727,FIELD_IDENTIFIER,2,,resamp_start_drift,resamp_start_drift,9,322,2
5735,FIELD_IDENTIFIER,2,,sync,sync,9,325,2
5736,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,325,2
5749,FIELD_IDENTIFIER,2,,sync,sync,29,328,2
5750,FIELD_IDENTIFIER,2,,resamp_start_drift,resamp_start_drift,29,328,2
5764,FIELD_IDENTIFIER,2,,sync,sync,16,340,2
5765,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,16,340,2
5780,FIELD_IDENTIFIER,2,,sync,sync,30,342,2
5781,FIELD_IDENTIFIER,2,,resamp_start_drift,resamp_start_drift,30,342,2
5792,FIELD_IDENTIFIER,2,,filters,filters,40,347,2
5799,FIELD_IDENTIFIER,2,,sync,sync,9,349,2
5800,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,349,2
5835,FIELD_IDENTIFIER,2,,i_pts,i_pts,13,363,2
5840,FIELD_IDENTIFIER,2,,i_length,i_length,5,365,2
5846,FIELD_IDENTIFIER,2,,i_nb_samples,i_nb_samples,36,365,2
5850,FIELD_IDENTIFIER,2,,input_format,input_format,36,366,2
5851,FIELD_IDENTIFIER,2,,i_rate,i_rate,36,366,2
5878,FIELD_IDENTIFIER,2,,i_pts,i_pts,45,373,2
5899,FIELD_IDENTIFIER,2,,i_flags,i_flags,9,387,2
5906,FIELD_IDENTIFIER,2,,sync,sync,9,388,2
5907,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,9,388,2
5915,FIELD_IDENTIFIER,2,,vp,vp,26,390,2
5916,FIELD_IDENTIFIER,2,,update,update,26,390,2
5924,FIELD_IDENTIFIER,2,,vp,vp,26,392,2
5925,FIELD_IDENTIFIER,2,,lock,lock,26,392,2
5929,FIELD_IDENTIFIER,2,,filters,filters,38,393,2
5934,FIELD_IDENTIFIER,2,,vp,vp,55,393,2
5935,FIELD_IDENTIFIER,2,,value,value,55,393,2
5941,FIELD_IDENTIFIER,2,,vp,vp,28,394,2
5942,FIELD_IDENTIFIER,2,,lock,lock,28,394,2
5948,FIELD_IDENTIFIER,2,,filters,filters,31,397,2
5960,FIELD_IDENTIFIER,2,,volume,volume,26,402,2
5966,FIELD_IDENTIFIER,2,,i_pts,i_pts,32,405,2
5972,FIELD_IDENTIFIER,2,,sync,sync,5,408,2
5973,FIELD_IDENTIFIER,2,,end,end,5,408,2
5978,FIELD_IDENTIFIER,2,,i_pts,i_pts,23,408,2
5981,FIELD_IDENTIFIER,2,,i_length,i_length,38,408,2
5987,FIELD_IDENTIFIER,2,,sync,sync,5,409,2
5988,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,5,409,2
5997,FIELD_IDENTIFIER,2,,buffers_played,buffers_played,23,411,2
6009,FIELD_IDENTIFIER,2,,sync,sync,5,416,2
6010,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,5,416,2
6019,FIELD_IDENTIFIER,2,,buffers_lost,buffers_lost,23,419,2
6041,FIELD_IDENTIFIER,2,,buffers_lost,buffers_lost,30,428,2
6050,FIELD_IDENTIFIER,2,,buffers_played,buffers_played,32,429,2
6071,FIELD_IDENTIFIER,2,,sync,sync,9,437,2
6072,FIELD_IDENTIFIER,2,,end,end,9,437,2
6082,FIELD_IDENTIFIER,2,,sync,sync,13,440,2
6083,FIELD_IDENTIFIER,2,,end,end,13,440,2
6091,FIELD_IDENTIFIER,2,,sync,sync,13,442,2
6092,FIELD_IDENTIFIER,2,,end,end,13,442,2
6098,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,9,444,2
6099,FIELD_IDENTIFIER,2,,i_format,i_format,9,444,2
6124,FIELD_IDENTIFIER,2,,sync,sync,5,454,2
6125,FIELD_IDENTIFIER,2,,end,end,5,454,2
6131,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,9,455,2
6132,FIELD_IDENTIFIER,2,,i_format,i_format,9,455,2
6143,FIELD_IDENTIFIER,2,,filters,filters,49,459,2
6155,FIELD_IDENTIFIER,2,,filters,filters,32,464,2
6177,FIELD_IDENTIFIER,2,,vp,vp,22,475,2
6178,FIELD_IDENTIFIER,2,,lock,lock,22,475,2
6183,FIELD_IDENTIFIER,2,,vp,vp,5,476,2
6184,FIELD_IDENTIFIER,2,,value,value,5,476,2
6192,FIELD_IDENTIFIER,2,,vp,vp,19,477,2
6193,FIELD_IDENTIFIER,2,,update,update,19,477,2
6200,FIELD_IDENTIFIER,2,,vp,vp,24,478,2
6201,FIELD_IDENTIFIER,2,,lock,lock,24,478,2
6264,FIELD_IDENTIFIER,2,,owner,owner,5,55,2
6265,FIELD_IDENTIFIER,2,,sys,sys,5,55,2
6270,FIELD_IDENTIFIER,2,,p_cfg,p_cfg,5,56,2
6276,FIELD_IDENTIFIER,2,,fmt_in,fmt_in,5,57,2
6277,FIELD_IDENTIFIER,2,,audio,audio,5,57,2
6284,FIELD_IDENTIFIER,2,,fmt_in,fmt_in,5,58,2
6285,FIELD_IDENTIFIER,2,,i_codec,i_codec,5,58,2
6288,FIELD_IDENTIFIER,2,,i_format,i_format,30,58,2
6293,FIELD_IDENTIFIER,2,,fmt_out,fmt_out,5,59,2
6294,FIELD_IDENTIFIER,2,,audio,audio,5,59,2
6301,FIELD_IDENTIFIER,2,,fmt_out,fmt_out,5,60,2
6302,FIELD_IDENTIFIER,2,,i_codec,i_codec,5,60,2
6305,FIELD_IDENTIFIER,2,,i_format,i_format,31,60,2
6310,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,9,65,2
6319,FIELD_IDENTIFIER,2,,i_channels,i_channels,51,66,2
6324,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,9,67,2
6333,FIELD_IDENTIFIER,2,,i_channels,i_channels,52,68,2
6337,FIELD_IDENTIFIER,2,,p_module,p_module,5,71,2
6348,FIELD_IDENTIFIER,2,,p_module,p_module,9,74,2
6358,FIELD_IDENTIFIER,2,,fmt_in,fmt_in,38,77,2
6359,FIELD_IDENTIFIER,2,,audio,audio,38,77,2
6367,FIELD_IDENTIFIER,2,,fmt_out,fmt_out,38,78,2
6368,FIELD_IDENTIFIER,2,,audio,audio,38,78,2
6374,FIELD_IDENTIFIER,2,,p_module,p_module,9,82,2
