9915,LOCAL,,int i_forced_stereo_mode,9,,523,i_forced_stereo_mode,4,,int
9919,LOCAL,,unsigned i_nb_input_channels,14,,524,i_nb_input_channels,6,,unsigned
10111,LOCAL,,aout_owner_t* owner,18,,613,owner,2,,aout_owner_t*
10283,LOCAL,,aout_owner_t* owner,18,,676,owner,1,,aout_owner_t*
10298,LOCAL,,aout_owner_t* owner,18,,683,owner,1,,aout_owner_t*
10314,LOCAL,,aout_owner_t* owner,18,,690,owner,2,,aout_owner_t*
10444,LOCAL,,aout_owner_t* owner,18,,740,owner,1,,aout_owner_t*
10491,LOCAL,,int ret,9,,759,ret,1,,int
10496,LOCAL,,float stepSize,11,,760,stepSize,3,,float
10506,LOCAL,,float delta,11,,761,delta,5,,float
10512,LOCAL,,float vol,11,,762,vol,7,,float
10580,LOCAL,,aout_owner_t* owner,18,,794,owner,1,,aout_owner_t*
10631,LOCAL,,aout_owner_t* owner,18,,822,owner,1,,aout_owner_t*
10636,LOCAL,,char* dev,10,,824,dev,3,,char*
10711,LOCAL,,aout_owner_t* owner,18,,856,owner,1,,aout_owner_t*
10716,LOCAL,,char** tabid,10,,857,tabid,3,,char**
10717,LOCAL,,char** tabname,19,,857,tabname,4,,char**
10718,LOCAL,,unsigned i,14,,858,i,5,,unsigned
10772,LOCAL,,aout_dev_t* dev,21,,870,dev,1,,aout_dev_t*
10912,LOCAL,,aout_volume_t* vol,19,,55,vol,1,,aout_volume_t*
10990,LOCAL,,audio_volume_t* obj,20,,85,obj,2,,audio_volume_t*
11061,LOCAL,,audio_volume_t* obj,20,,112,obj,2,,audio_volume_t*
11130,LOCAL,,float amp,11,,137,amp,2,,float
11163,LOCAL,,unsigned mode,14,,148,mode,1,,unsigned
11193,LOCAL,,float multiplier,11,,160,multiplier,4,,float
11204,LOCAL,,float gain,15,,168,gain,1,,float
11295,LOCAL,,aout_volume_t* vol,19,,197,vol,1,,aout_volume_t*
11299,LOCAL,,float multiplier,11,,198,multiplier,3,,float
11399,LOCAL,,const char* p,16,,73,p,1,,char*
11403,LOCAL,,char c,10,,74,c,3,,char
11529,LOCAL,,const char* p,16,,121,p,2,,char*
11534,LOCAL,,char* psz_value,10,,123,psz_value,3,,char*
11538,LOCAL,,const char* end,16,,124,end,3,,char*
11539,LOCAL,,bool b_keep_brackets,10,,125,b_keep_brackets,6,,bool
11717,LOCAL,,config_chain_t** pp_next,20,,183,pp_next,1,,config_chain_t**
