10697,LOCAL,,int tcp_nodelay,10,,1443,tcp_nodelay,1,,int
10754,LOCAL,,ngx_uint_t level,17,,1486,level,1,,ngx_uint_t
10914,LOCAL,,enum ngx_connection_log_error_e,3,,100,ngx_connection_log_error_e,5,,enum
10926,LOCAL,,enum ngx_connection_tcp_nodelay_e,3,,107,ngx_connection_tcp_nodelay_e,7,,enum
10938,LOCAL,,enum ngx_connection_tcp_nopush_e,3,,114,ngx_connection_tcp_nopush_e,9,,enum
11230,LOCAL,,ngx_inline uint32_t,19,,18,uint32_t,1,,ngx_inline
11236,LOCAL,,uint32_t sum,15,,21,sum,1,,uint32_t
11273,LOCAL,,static uint32_t[] ngx_crc32_table16,18,,26,ngx_crc32_table16,1,,static uint32_t[]
11293,LOCAL,,uint32_t[] ngx_crc32_table256,11,,34,ngx_crc32_table256,3,,uint32_t[]
11553,LOCAL,,uint32_t* ngx_crc32_table_short,10,,102,ngx_crc32_table_short,5,,uint32_t*
11560,LOCAL,,void* p,11,,108,p,1,,void*
11626,LOCAL,,uint32_t* ngx_crc32_table_short,18,,16,ngx_crc32_table_short,1,,uint32_t*
11627,LOCAL,,extern uint32_t[] ngx_crc32_table256,19,,17,ngx_crc32_table256,2,,extern uint32_t[]
11629,LOCAL,,ngx_inline uint32_t,19,,20,uint32_t,4,,ngx_inline
11635,LOCAL,,u_char c,15,,23,c,1,,u_char
11636,LOCAL,,uint32_t crc,15,,24,crc,2,,uint32_t
11685,LOCAL,,ngx_inline uint32_t,19,,38,uint32_t,7,,ngx_inline
11691,LOCAL,,uint32_t crc,15,,41,crc,1,,uint32_t
11796,LOCAL,,volatile ngx_cycle_t* ngx_cycle,23,,21,ngx_cycle,6,,ngx_cycle_t*
11797,LOCAL,,ngx_array_t ngx_old_cycles,24,,22,ngx_old_cycles,7,,ngx_array_t
11798,LOCAL,,ngx_pool_t* ngx_temp_pool,23,,24,ngx_temp_pool,8,,ngx_pool_t*
11799,LOCAL,,ngx_event_t ngx_cleaner_event,24,,25,ngx_cleaner_event,9,,ngx_event_t
11800,LOCAL,,ngx_event_t ngx_shutdown_event,24,,26,ngx_shutdown_event,10,,ngx_event_t
11801,LOCAL,,ngx_uint_t ngx_test_config,24,,28,ngx_test_config,11,,ngx_uint_t
11802,LOCAL,,ngx_uint_t ngx_dump_config,24,,29,ngx_dump_config,12,,ngx_uint_t
11803,LOCAL,,ngx_uint_t ngx_quiet_mode,24,,30,ngx_quiet_mode,13,,ngx_uint_t
11804,LOCAL,,ngx_connection_t dumb,26,,34,dumb,14,,ngx_connection_t
11808,LOCAL,,void* rv,25,,41,rv,1,,void*
11809,LOCAL,,char** senv,24,,42,senv,2,,char**
11810,LOCAL,,ngx_uint_t i,26,,43,i,3,,ngx_uint_t
11811,LOCAL,,ngx_uint_t n,29,,43,n,4,,ngx_uint_t
11812,LOCAL,,ngx_log_t* log,25,,44,log,5,,ngx_log_t*
11813,LOCAL,,ngx_time_t* tp,25,,45,tp,6,,ngx_time_t*
