45881,RETURN,-1,,return c->rcurr - (c->binary_header.request.keylen);,5,132,1
47935,RETURN,-1,,return;,17,635,3
47984,RETURN,-1,,return;,13,646,2
48035,RETURN,-1,,return;,9,660,2
48088,RETURN,1,,return;,9,677,1
48156,RETURN,-1,,return;,9,702,2
48193,RETURN,-1,,return;,9,720,3
48232,RETURN,-1,,return;,9,731,2
48280,RETURN,-1,,return;,9,742,3
48325,RETURN,-1,,return;,9,757,4
48447,RETURN,-1,,return;,9,781,3
48570,RETURN,-1,,return;,9,796,3
48830,RETURN,-1,,return rv;,5,882,6
48893,RETURN,-1,,return;,9,895,3
48913,RETURN,-1,,return;,9,901,3
48928,RETURN,-1,,return;,9,910,2
49734,RETURN,-1,,return;,9,1149,6
49986,RETURN,-1,,return;,9,1219,3
50133,RETURN,-1,,return;,7,1258,2
50508,RETURN,-1,,return;,8,26,1
50629,RETURN,-1,,return;,9,44,1
51694,RETURN,-1,,return;,5,273,13
51793,RETURN,-1,,return;,5,323,4
51808,RETURN,1,,return 0;,9,330,1
51867,RETURN,-1,,return 1;,17,348,2
51883,RETURN,-1,,return 1;,21,357,2
51885,RETURN,-1,,return 0;,9,362,2
51946,RETURN,-1,,return 1;,5,376,13
52043,RETURN,-1,,return;,9,400,2
52100,RETURN,-1,,return;,9,417,3
52135,RETURN,-1,,return;,5,432,21
52245,RETURN,-1,,return;,5,479,18
52760,RETURN,-1,,return 0;,5,616,8
52849,RETURN,-1,,return;,13,636,2
52864,RETURN,-1,,return;,9,643,5
52958,RETURN,-1,,return;,9,678,4
53012,RETURN,-1,,return;,21,698,2
53090,RETURN,-1,,return;,13,724,2
53121,RETURN,-1,,return;,9,734,7
53170,RETURN,-1,,return;,13,743,2
53179,RETURN,-1,,return;,9,747,5
53188,RETURN,-1,,return;,9,752,2
53344,RETURN,-1,,return;,13,789,4
53376,RETURN,-1,,return;,9,797,8
53596,RETURN,-1,,return;,9,856,3
53711,RETURN,-1,,return;,5,893,37
54016,RETURN,-1,,return;,7,87,21
54692,RETURN,-1,,return ntokens;,5,323,16
54723,RETURN,1,,return 0;,13,338,1
54749,RETURN,-1,,return 1;,17,346,2
54751,RETURN,-1,,return 0;,13,348,2
54828,RETURN,-1,,return 1;,21,370,2
54833,RETURN,-1,,return 1;,13,374,3
54856,RETURN,-1,,return 0;,9,386,1
54872,RETURN,-1,,return 1;,13,393,2
54915,RETURN,-1,,return 1;,9,408,2
54942,RETURN,-1,,return 1;,9,417,2
55037,RETURN,-1,,return 1;,5,435,17
55053,RETURN,1,,return 0;,9,442,1
55112,RETURN,-1,,return 1;,17,460,2
55128,RETURN,-1,,return 1;,21,469,2
55130,RETURN,-1,,return 0;,9,474,2
55205,RETURN,-1,,return 1;,5,492,15
55242,RETURN,-1,,return c->noreply;,5,511,4
55379,RETURN,-1,,return (p - suffix) + 2;,5,536,12
55445,RETURN,-1,,return;,13,555,2
55914,RETURN,-1,,return;,13,701,2
56031,RETURN,-1,,return;,9,742,2
56062,RETURN,-1,,return;,9,751,3
56089,RETURN,-1,,return;,9,759,2
56128,RETURN,-1,,return;,13,768,2
56137,RETURN,-1,,return;,13,773,2
56162,RETURN,-1,,return;,13,779,2
56175,RETURN,-1,,return;,13,784,2
56187,RETURN,-1,,return;,9,789,12
56250,RETURN,-1,,return;,9,813,2
56321,RETURN,-1,,return;,9,833,2
56385,RETURN,-1,,return;,13,845,2
56764,RETURN,-1,,return -1;,13,930,2
57234,RETURN,-1,,return -1;,17,1044,89
57237,RETURN,-1,,return of->has_error ? -1 : 0;,5,1048,7
57315,RETURN,-1,,"WANT_TOKENS_MIN(ntokens, 3)",5,1067,2
57333,RETURN,-1,,return;,9,1072,2
57342,RETURN,-1,,return;,9,1081,2
57355,RETURN,-1,,return;,9,1085,2
57370,RETURN,-1,,return;,9,1092,2
57445,RETURN,-1,,return;,9,1116,3
58417,RETURN,-1,,return;,5,1343,39
58495,RETURN,-1,,"WANT_TOKENS_MIN(ntokens, 3)",5,1368,2
58513,RETURN,-1,,return;,9,1373,2
58522,RETURN,-1,,return;,9,1378,2
58533,RETURN,-1,,return;,9,1383,2
58559,RETURN,-1,,return;,9,1392,2
58574,RETURN,-1,,return;,9,1397,2
59110,RETURN,-1,,return;,5,1541,50
59179,RETURN,-1,,"WANT_TOKENS_MIN(ntokens, 3)",5,1566,2
59197,RETURN,-1,,return;,9,1571,2
59208,RETURN,-1,,return;,9,1576,2
59223,RETURN,-1,,return;,9,1584,2
59701,RETURN,-1,,return;,5,1680,35
